21:5:29.0868, 754
21:5:34.4914, 754
21:5:39.9251, 754
21:5:45.3615, 754
21:5:50.862, 753
21:5:56.3299, 753
21:6:1.8585, 752
21:6:7.3543, 752
21:6:12.7921, 752
21:6:18.2758, 752
21:6:23.7546, 751
21:6:29.1786, 750
21:6:34.5888, 750
21:6:40.0205, 749
21:6:45.4281, 749
21:6:50.8498, 747
21:6:56.2642, 747
21:7:1.7102, 746
21:7:7.18, 746
21:7:12.5949, 746
21:7:18.0467, 745
21:7:23.5142, 745
21:7:28.9316, 745
21:7:34.3436, 740
21:7:39.773, 739
21:7:45.2, 740
21:7:50.6102, 739
21:7:56.0045, 739
21:8:1.4386, 738
21:8:6.8957, 737
21:8:12.3638, 736
21:8:17.818, 735
21:8:23.272, 736
21:8:28.691, 735
21:8:34.1016, 735
21:8:39.4996, 735
21:8:44.8856, 735
21:8:50.3211, 734
21:8:55.7409, 734
21:9:1.2144, 733
21:9:6.6388, 732
21:9:12.0813, 732
21:9:17.4749, 732
21:9:22.8856, 732
21:9:28.2839, 731
21:9:33.6891, 730
21:9:39.1122, 729
21:9:44.5334, 730
21:9:49.9804, 729
21:9:55.4224, 729
21:10:0.9051, 729
21:10:6.4038, 728
21:10:11.9126, 728
21:10:17.3646, 727
21:10:22.7781, 726
21:10:28.1962, 725
21:10:33.6205, 722
21:10:39.0894, 720
21:10:44.5521, 716
21:10:49.9773, 715
21:10:55.4104, 715
21:11:0.8693, 713
21:11:6.2702, 713
21:11:11.6785, 713
21:11:17.0923, 712
21:11:22.5086, 711
21:11:27.914, 711
21:11:33.3642, 710
21:11:38.7789, 709
21:11:44.2323, 709
21:11:49.6347, 709
21:11:55.1057, 709
21:12:0.6139, 709
21:12:6.1055, 709
21:12:11.5189, 708
21:12:16.9135, 708
21:12:22.3477, 708
21:12:27.8678, 707
21:12:33.3667, 707
21:12:38.7898, 706
21:12:44.2407, 706
21:12:49.7446, 706
21:12:55.2184, 702
21:13:0.611, 700
21:13:6.0472, 700
21:13:11.5049, 700
21:13:16.9823, 699
21:13:22.4288, 699
21:13:27.873, 698
21:13:33.3416, 698
21:13:38.828, 698
21:13:44.4218, 698
21:13:49.9052, 698
21:13:55.3348, 698
21:14:0.8029, 697
21:14:6.2605, 697
21:14:11.7539, 696
21:14:17.2586, 696
21:14:22.734, 696
21:14:28.2091, 696
21:14:33.6, 695
21:14:38.9953, 695
21:14:44.3802, 693
21:14:49.8138, 692
21:14:55.2253, 691
21:15:0.6334, 690
21:15:6.1212, 689
21:15:11.6165, 688
21:15:17.0525, 688
21:15:22.5356, 688
21:15:28.0177, 687
21:15:33.4877, 687
21:15:38.9384, 687
21:15:44.3439, 687
21:15:49.7811, 687
21:15:55.2133, 687
21:16:0.6326, 687
21:16:6.0907, 686
21:16:11.5299, 685
21:16:16.9464, 685
21:16:22.3788, 685
21:16:27.8497, 685
21:16:33.3415, 685
21:16:38.8974, 685
21:16:44.3728, 684
21:16:49.8281, 684
21:16:55.2778, 683
21:17:0.7302, 683
21:17:6.2473, 683
21:17:11.787, 683
21:17:17.312, 682
21:17:22.8355, 682
21:17:28.3718, 682
21:17:33.8904, 682
21:17:39.4043, 682
21:17:44.8925, 682
21:17:50.4071, 682
21:17:55.9086, 682
21:18:1.4334, 681
21:18:6.9556, 679
21:18:12.4719, 679
21:18:17.9838, 678
21:18:23.4785, 679
21:18:28.9579, 678
21:18:34.4087, 678
21:18:39.805, 678
21:18:45.2158, 677
21:18:50.7321, 675
21:18:56.2111, 674
21:19:1.7178, 674
21:19:7.2199, 674
21:19:12.6874, 674
21:19:18.1523, 673
21:19:23.5967, 673
21:19:29.0162, 671
21:19:39.9988, 670
21:19:45.484, 670
21:19:50.9892, 669
21:19:56.4661, 669
21:20:1.9414, 668
21:20:7.4212, 667
21:20:12.909, 667
21:20:18.3918, 667
21:20:23.9076, 666
21:20:29.4204, 667
21:20:34.9426, 666
21:20:40.4388, 666
21:20:45.9453, 666
21:20:51.4547, 664
21:20:56.9416, 665
21:21:2.3972, 664
21:21:7.8353, 665
21:21:13.3305, 665
21:21:18.8297, 664
21:21:24.3491, 665
21:21:29.8553, 664
21:21:35.3639, 664
21:21:40.8678, 665
21:21:46.3864, 665
21:21:51.8978, 664
21:21:57.3864, 664
21:22:2.8765, 663
21:22:8.389, 662
21:22:13.8876, 660
21:22:19.4035, 660
21:22:24.9172, 661
21:22:30.3886, 661
21:22:35.8643, 660
21:22:41.3548, 660
21:22:46.8421, 660
21:22:52.3618, 658
21:22:57.8753, 658
21:23:3.3927, 658
21:23:8.8886, 657
21:23:14.3933, 655
21:23:19.8982, 655
21:23:25.3486, 655
21:23:30.8714, 656
21:23:36.3953, 655
21:23:41.9011, 655
21:23:47.3548, 655
21:23:52.8628, 654
21:23:58.2951, 655
21:24:3.7877, 655
21:24:9.2302, 654
21:24:14.7302, 653
21:24:20.2451, 653
21:24:25.7141, 653
21:24:31.1355, 652
21:24:36.5998, 652
21:24:42.1201, 650
21:24:53.1298, 650
21:24:58.6353, 649
21:25:4.1048, 649
21:25:9.5711, 649
21:25:14.9894, 647
21:25:20.4479, 647
21:25:25.871, 647
21:25:31.3498, 648
21:25:36.7863, 647
21:25:42.1803, 647
21:25:47.5857, 647
21:25:53.0461, 647
21:25:58.4799, 647
21:26:3.879, 647
21:26:9.2532, 646
21:26:14.7511, 646
21:26:20.2713, 646
21:26:25.8089, 646
21:26:31.3159, 646
21:26:36.7725, 647
21:26:42.2769, 646
21:26:47.7232, 647
21:26:53.1519, 647
